Date	Open	High	Low	Close*	Adj Close**	Volume
9-Jun-17	"21,208.96"	"21,305.35"	"21,159.45"	"21,271.97"	"21,271.97"	"3,972,000"
8-Jun-17	"21,169.76"	"21,265.69"	"21,138.16"	"21,182.53"	"21,182.53"	"3,303,300"
7-Jun-17	"21,171.57"	"21,189.84"	"21,113.31"	"21,173.69"	"21,173.69"	"2,734,000"
6-Jun-17	"21,145.48"	"21,180.47"	"21,118.46"	"21,136.23"	"21,136.23"	"2,835,500"
5-Jun-17	"21,195.03"	"21,224.41"	"21,168.69"	"21,184.04"	"21,184.04"	"2,697,900"
2-Jun-17	"21,142.09"	"21,225.04"	"21,129.56"	"21,206.29"	"21,206.29"	"3,297,000"
1-Jun-17	"21,030.55"	"21,144.18"	"20,994.22"	"21,144.18"	"21,144.18"	"2,767,300"
31-May-17	"21,048.46"	"21,051.70"	"20,942.57"	"21,008.65"	"21,008.65"	"3,715,800"
30-May-17	"21,045.49"	"21,063.62"	"21,009.60"	"21,029.47"	"21,029.47"	"2,428,100"
26-May-17	"21,070.15"	"21,092.82"	"21,050.49"	"21,080.28"	"21,080.28"	"2,080,000"
25-May-17	"21,062.96"	"21,112.32"	"21,051.41"	"21,082.95"	"21,082.95"	"2,689,700"
24-May-17	"20,949.21"	"21,022.82"	"20,933.58"	"21,012.42"	"21,012.42"	"2,831,800"
23-May-17	"20,908.67"	"20,961.14"	"20,896.22"	"20,937.91"	"20,937.91"	"2,449,500"
22-May-17	"20,867.77"	"20,914.26"	"20,860.16"	"20,894.83"	"20,894.83"	"2,761,200"
19-May-17	"20,698.28"	"20,857.13"	"20,687.94"	"20,804.84"	"20,804.84"	"3,651,800"
18-May-17	"20,579.65"	"20,759.20"	"20,553.45"	"20,663.02"	"20,663.02"	"4,225,900"
17-May-17	"20,846.17"	"20,846.17"	"20,601.08"	"20,606.93"	"20,606.93"	"4,232,000"
16-May-17	"20,984.48"	"21,033.53"	"20,932.88"	"20,979.75"	"20,979.75"	"3,115,800"
15-May-17	"20,923.63"	"21,000.83"	"20,923.63"	"20,981.94"	"20,981.94"	"3,131,700"
12-May-17	"20,893.19"	"20,916.10"	"20,869.74"	"20,896.61"	"20,896.61"	"2,885,000"
11-May-17	"20,925.72"	"20,933.36"	"20,798.90"	"20,919.42"	"20,919.42"	"2,876,800"
10-May-17	"20,958.49"	"20,976.28"	"20,884.15"	"20,943.11"	"20,943.11"	"2,833,400"
9-May-17	"21,022.28"	"21,046.85"	"20,938.04"	"20,975.78"	"20,975.78"	"2,730,000"
8-May-17	"20,991.26"	"21,017.89"	"20,971.05"	"21,012.28"	"21,012.28"	"2,761,500"
5-May-17	"20,929.04"	"21,006.94"	"20,905.00"	"21,006.94"	"21,006.94"	"2,609,600"
4-May-17	"20,987.83"	"20,990.79"	"20,847.95"	"20,951.47"	"20,951.47"	"2,747,200"
3-May-17	"20,915.00"	"20,972.74"	"20,874.18"	"20,957.90"	"20,957.90"	"3,109,200"
2-May-17	"20,941.19"	"20,960.92"	"20,904.06"	"20,949.89"	"20,949.89"	"3,388,100"
1-May-17	"20,962.73"	"20,976.62"	"20,898.38"	"20,913.46"	"20,913.46"	"2,881,600"
28-Apr-17	"20,987.39"	"20,987.76"	"20,926.75"	"20,940.51"	"20,940.51"	"3,299,900"
27-Apr-17	"20,991.12"	"21,005.80"	"20,935.80"	"20,981.33"	"20,981.33"	"3,056,900"
26-Apr-17	"21,009.95"	"21,070.90"	"20,972.27"	"20,975.09"	"20,975.09"	"3,285,500"
25-Apr-17	"20,915.51"	"21,026.97"	"20,909.38"	"20,996.12"	"20,996.12"	"3,481,800"
24-Apr-17	"20,723.59"	"20,792.20"	"20,723.59"	"20,763.89"	"20,763.89"	"3,424,000"
21-Apr-17	"20,578.10"	"20,601.40"	"20,505.33"	"20,547.76"	"20,547.76"	"3,696,000"
20-Apr-17	"20,406.68"	"20,629.78"	"20,406.68"	"20,578.71"	"20,578.71"	"3,124,400"
19-Apr-17	"20,503.52"	"20,546.69"	"20,379.55"	"20,404.49"	"20,404.49"	"2,947,900"
18-Apr-17	"20,561.39"	"20,600.12"	"20,462.28"	"20,523.28"	"20,523.28"	"2,631,800"
17-Apr-17	"20,484.75"	"20,644.41"	"20,484.75"	"20,636.92"	"20,636.92"	"2,292,400"
13-Apr-17	"20,561.69"	"20,612.27"	"20,453.25"	"20,453.25"	"20,453.25"	"2,358,100"
12-Apr-17	"20,637.95"	"20,642.54"	"20,553.03"	"20,591.86"	"20,591.86"	"2,676,700"
11-Apr-17	"20,644.32"	"20,660.03"	"20,512.56"	"20,651.30"	"20,651.30"	"2,551,200"
10-Apr-17	"20,668.22"	"20,750.33"	"20,614.86"	"20,658.02"	"20,658.02"	"2,304,800"
7-Apr-17	"20,647.81"	"20,726.07"	"20,606.95"	"20,656.10"	"20,656.10"	"2,197,300"
6-Apr-17	"20,653.77"	"20,746.46"	"20,612.17"	"20,662.95"	"20,662.95"	"2,517,200"
5-Apr-17	"20,745.06"	"20,887.50"	"20,639.55"	"20,648.15"	"20,648.15"	"2,849,800"
4-Apr-17	"20,634.94"	"20,701.29"	"20,605.30"	"20,689.24"	"20,689.24"	"2,373,900"
3-Apr-17	"20,665.17"	"20,692.34"	"20,517.82"	"20,650.21"	"20,650.21"	"2,856,700"
31-Mar-17	"20,700.34"	"20,722.59"	"20,660.68"	"20,663.22"	"20,663.22"	"3,037,700"
30-Mar-17	"20,662.79"	"20,753.78"	"20,643.60"	"20,728.49"	"20,728.49"	"2,709,000"
29-Mar-17	"20,675.75"	"20,684.73"	"20,625.03"	"20,659.32"	"20,659.32"	"2,383,200"
28-Mar-17	"20,542.14"	"20,735.61"	"20,520.10"	"20,701.50"	"20,701.50"	"2,996,700"
27-Mar-17	"20,488.35"	"20,578.46"	"20,412.80"	"20,550.98"	"20,550.98"	"2,693,800"
24-Mar-17	"20,674.45"	"20,718.33"	"20,529.67"	"20,596.72"	"20,596.72"	"2,929,800"
23-Mar-17	"20,645.07"	"20,757.89"	"20,618.62"	"20,656.58"	"20,656.58"	"2,800,500"
22-Mar-17	"20,640.42"	"20,686.21"	"20,578.95"	"20,661.30"	"20,661.30"	"3,250,900"
21-Mar-17	"20,956.33"	"20,970.04"	"20,653.26"	"20,668.01"	"20,668.01"	"3,693,200"
20-Mar-17	"20,916.27"	"20,955.45"	"20,885.70"	"20,905.86"	"20,905.86"	"2,536,100"
17-Mar-17	"20,965.37"	"20,980.51"	"20,911.07"	"20,914.62"	"20,914.62"	"5,352,800"
16-Mar-17	"20,969.27"	"21,000.11"	"20,893.50"	"20,934.55"	"20,934.55"	"2,643,600"
15-Mar-17	"20,874.78"	"20,977.47"	"20,859.60"	"20,950.10"	"20,950.10"	"3,065,900"
14-Mar-17	"20,848.60"	"20,874.00"	"20,786.31"	"20,837.37"	"20,837.37"	"2,468,200"
13-Mar-17	"20,899.28"	"20,926.06"	"20,845.71"	"20,881.48"	"20,881.48"	"2,892,600"
10-Mar-17	"20,919.01"	"20,940.29"	"20,827.66"	"20,902.98"	"20,902.98"	"3,154,300"
9-Mar-17	"20,864.32"	"20,900.57"	"20,777.16"	"20,858.19"	"20,858.19"	"2,759,600"
8-Mar-17	"20,940.44"	"20,951.44"	"20,835.58"	"20,855.73"	"20,855.73"	"2,967,800"
7-Mar-17	"20,934.89"	"20,970.54"	"20,901.26"	"20,924.76"	"20,924.76"	"2,746,300"
6-Mar-17	"20,955.71"	"20,986.43"	"20,912.11"	"20,954.34"	"20,954.34"	"2,666,200"
3-Mar-17	"21,008.75"	"21,039.96"	"20,953.86"	"21,005.71"	"21,005.71"	"2,544,200"
2-Mar-17	"21,128.91"	"21,129.20"	"20,996.61"	"21,002.97"	"21,002.97"	"3,199,100"
1-Mar-17	"20,957.29"	"21,169.11"	"20,957.29"	"21,115.55"	"21,115.55"	"3,928,200"
28-Feb-17	"20,833.88"	"20,841.24"	"20,781.21"	"20,812.24"	"20,812.24"	"3,392,100"
27-Feb-17	"20,808.71"	"20,851.33"	"20,774.76"	"20,837.44"	"20,837.44"	"2,565,400"
24-Feb-17	"20,751.91"	"20,821.76"	"20,733.95"	"20,821.76"	"20,821.76"	"2,925,400"
23-Feb-17	"20,817.21"	"20,840.70"	"20,746.41"	"20,810.32"	"20,810.32"	"3,021,100"
22-Feb-17	"20,715.41"	"20,781.59"	"20,692.39"	"20,775.60"	"20,775.60"	"3,105,300"
21-Feb-17	"20,663.43"	"20,757.64"	"20,663.37"	"20,743.00"	"20,743.00"	"3,368,800"
17-Feb-17	"20,564.13"	"20,624.05"	"20,532.61"	"20,624.05"	"20,624.05"	"3,406,200"
16-Feb-17	"20,627.31"	"20,639.87"	"20,556.83"	"20,619.77"	"20,619.77"	"3,541,200"
15-Feb-17	"20,504.27"	"20,620.45"	"20,496.03"	"20,611.86"	"20,611.86"	"3,843,800"
14-Feb-17	"20,374.22"	"20,504.41"	"20,374.02"	"20,504.41"	"20,504.41"	"3,565,800"
13-Feb-17	"20,338.54"	"20,441.48"	"20,322.95"	"20,412.16"	"20,412.16"	"3,146,200"
10-Feb-17	"20,211.23"	"20,298.21"	"20,204.76"	"20,269.37"	"20,269.37"	"3,122,300"
9-Feb-17	"20,061.73"	"20,206.36"	"20,061.73"	"20,172.40"	"20,172.40"	"3,253,100"
8-Feb-17	"20,049.29"	"20,068.28"	"20,015.33"	"20,054.34"	"20,054.34"	"2,804,100"
7-Feb-17	"20,107.62"	"20,155.35"	"20,068.68"	"20,090.29"	"20,090.29"	"2,796,700"
6-Feb-17	"20,025.61"	"20,094.95"	"20,002.81"	"20,052.42"	"20,052.42"	"2,817,200"
3-Feb-17	"19,964.21"	"20,081.48"	"19,964.21"	"20,071.46"	"20,071.46"	"3,442,200"
2-Feb-17	"19,858.34"	"19,922.75"	"19,831.09"	"19,884.91"	"19,884.91"	"3,472,200"
1-Feb-17	"19,923.81"	"19,967.73"	"19,845.99"	"19,890.94"	"19,890.94"	"4,266,700"
31-Jan-17	"19,913.16"	"19,918.17"	"19,784.77"	"19,864.09"	"19,864.09"	"3,737,500"
30-Jan-17	"20,028.62"	"20,028.62"	"19,870.39"	"19,971.13"	"19,971.13"	"3,172,800"
27-Jan-17	"20,103.36"	"20,115.97"	"20,072.64"	"20,093.78"	"20,093.78"	"3,431,300"
26-Jan-17	"20,076.25"	"20,125.58"	"20,067.53"	"20,100.91"	"20,100.91"	"3,567,300"
25-Jan-17	"19,994.48"	"20,082.00"	"19,994.48"	"20,068.51"	"20,068.51"	"3,722,400"
24-Jan-17	"19,794.68"	"19,949.24"	"19,786.71"	"19,912.71"	"19,912.71"	"3,744,600"
23-Jan-17	"19,794.79"	"19,833.98"	"19,732.36"	"19,799.85"	"19,799.85"	"3,266,900"
20-Jan-17	"19,795.06"	"19,843.94"	"19,759.14"	"19,827.25"	"19,827.25"	"4,352,600"
19-Jan-17	"19,813.55"	"19,824.14"	"19,677.94"	"19,732.40"	"19,732.40"	"3,017,500"
18-Jan-17	"19,822.73"	"19,828.20"	"19,739.00"	"19,804.72"	"19,804.72"	"2,797,600"
17-Jan-17	"19,848.82"	"19,882.99"	"19,775.35"	"19,826.77"	"19,826.77"	"3,419,000"
13-Jan-17	"19,912.54"	"19,952.03"	"19,849.38"	"19,885.73"	"19,885.73"	"2,637,800"
12-Jan-17	"19,926.21"	"19,929.29"	"19,770.47"	"19,891.00"	"19,891.00"	"3,062,900"
11-Jan-17	"19,887.38"	"19,973.42"	"19,833.16"	"19,954.28"	"19,954.28"	"3,361,500"
10-Jan-17	"19,876.35"	"19,957.12"	"19,836.03"	"19,855.53"	"19,855.53"	"2,994,100"
9-Jan-17	"19,931.41"	"19,943.78"	"19,887.38"	"19,887.38"	"19,887.38"	"2,875,100"
6-Jan-17	"19,906.96"	"19,999.63"	"19,834.08"	"19,963.80"	"19,963.80"	"2,777,000"
5-Jan-17	"19,924.56"	"19,948.60"	"19,811.12"	"19,899.29"	"19,899.29"	"2,699,200"
4-Jan-17	"19,890.94"	"19,956.14"	"19,878.83"	"19,942.16"	"19,942.16"	"2,800,100"
3-Jan-17	"19,872.86"	"19,938.53"	"19,775.93"	"19,881.76"	"19,881.76"	"3,391,800"
30-Dec-16	"19,833.17"	"19,852.55"	"19,718.67"	"19,762.60"	"19,762.60"	"2,719,100"
29-Dec-16	"19,835.46"	"19,878.44"	"19,788.94"	"19,819.78"	"19,819.78"	"1,720,400"
28-Dec-16	"19,964.31"	"19,981.11"	"19,827.31"	"19,833.68"	"19,833.68"	"1,883,500"
27-Dec-16	"19,943.46"	"19,980.24"	"19,939.80"	"19,945.04"	"19,945.04"	"1,585,400"
23-Dec-16	"19,908.61"	"19,934.15"	"19,899.06"	"19,933.81"	"19,933.81"	"1,582,600"
22-Dec-16	"19,922.68"	"19,933.83"	"19,882.19"	"19,918.88"	"19,918.88"	"2,582,900"
21-Dec-16	"19,968.97"	"19,986.56"	"19,941.96"	"19,941.96"	"19,941.96"	"2,566,400"
20-Dec-16	"19,920.59"	"19,987.63"	"19,920.42"	"19,974.62"	"19,974.62"	"2,840,800"
19-Dec-16	"19,836.66"	"19,917.78"	"19,832.95"	"19,883.06"	"19,883.06"	"3,023,100"
16-Dec-16	"19,909.01"	"19,923.17"	"19,821.00"	"19,843.41"	"19,843.41"	"5,734,700"
15-Dec-16	"19,811.50"	"19,951.29"	"19,811.50"	"19,852.24"	"19,852.24"	"3,573,500"
14-Dec-16	"19,876.13"	"19,966.43"	"19,748.67"	"19,792.53"	"19,792.53"	"4,084,300"
13-Dec-16	"19,852.21"	"19,953.75"	"19,846.45"	"19,911.21"	"19,911.21"	"3,884,200"
12-Dec-16	"19,770.20"	"19,824.59"	"19,747.74"	"19,796.43"	"19,796.43"	"3,336,600"
9-Dec-16	"19,631.35"	"19,757.74"	"19,623.19"	"19,756.85"	"19,756.85"	"3,344,700"
8-Dec-16	"19,559.94"	"19,664.97"	"19,527.83"	"19,614.81"	"19,614.81"	"3,245,700"
7-Dec-16	"19,241.99"	"19,558.42"	"19,229.83"	"19,549.62"	"19,549.62"	"3,852,000"
6-Dec-16	"19,219.91"	"19,255.89"	"19,184.74"	"19,251.78"	"19,251.78"	"2,849,600"
5-Dec-16	"19,244.35"	"19,274.85"	"19,186.73"	"19,216.24"	"19,216.24"	"3,178,000"
2-Dec-16	"19,161.25"	"19,196.14"	"19,141.18"	"19,170.42"	"19,170.42"	"849,200"
1-Dec-16	"19,149.20"	"19,214.30"	"19,138.79"	"19,191.93"	"19,191.93"	"1,088,000"
30-Nov-16	"19,135.64"	"19,225.29"	"19,123.38"	"19,123.58"	"19,123.58"	"1,645,700"
29-Nov-16	"19,064.07"	"19,144.40"	"19,062.22"	"19,121.60"	"19,121.60"	"815,100"
28-Nov-16	"19,122.14"	"19,138.72"	"19,072.25"	"19,097.90"	"19,097.90"	"884,600"
25-Nov-16	"19,093.72"	"19,152.14"	"19,093.72"	"19,152.14"	"19,152.14"	"458,900"
23-Nov-16	"19,015.52"	"19,083.76"	"19,000.38"	"19,083.18"	"19,083.18"	"778,800"
22-Nov-16	"18,970.39"	"19,043.90"	"18,962.82"	"19,023.87"	"19,023.87"	"853,100"
21-Nov-16	"18,898.68"	"18,960.76"	"18,883.10"	"18,956.69"	"18,956.69"	"805,200"
18-Nov-16	"18,905.33"	"18,915.74"	"18,853.83"	"18,867.93"	"18,867.93"	"1,098,800"
17-Nov-16	"18,866.22"	"18,904.03"	"18,845.27"	"18,903.82"	"18,903.82"	"899,400"
16-Nov-16	"18,909.85"	"18,909.85"	"18,825.89"	"18,868.14"	"18,868.14"	"873,200"
15-Nov-16	"18,858.21"	"18,925.26"	"18,806.06"	"18,923.06"	"18,923.06"	"1,006,600"
14-Nov-16	"18,876.77"	"18,934.05"	"18,815.75"	"18,868.69"	"18,868.69"	"1,122,500"
11-Nov-16	"18,781.65"	"18,855.78"	"18,736.96"	"18,847.66"	"18,847.66"	"1,073,000"
10-Nov-16	"18,603.14"	"18,873.66"	"18,603.14"	"18,807.88"	"18,807.88"	"1,643,900"
9-Nov-16	"18,317.26"	"18,650.06"	"18,252.55"	"18,589.69"	"18,589.69"	"1,731,100"
8-Nov-16	"18,251.38"	"18,400.50"	"18,200.75"	"18,332.74"	"18,332.74"	"798,200"
7-Nov-16	"17,994.64"	"18,263.30"	"17,994.64"	"18,259.60"	"18,259.60"	"934,500"
4-Nov-16	"17,928.35"	"17,986.76"	"17,883.56"	"17,888.28"	"17,888.28"	"977,600"
3-Nov-16	"17,978.75"	"18,006.96"	"17,904.07"	"17,930.67"	"17,930.67"	"778,600"
2-Nov-16	"18,017.72"	"18,044.15"	"17,931.89"	"17,959.64"	"17,959.64"	"886,100"
1-Nov-16	"18,158.24"	"18,177.01"	"17,940.84"	"18,037.10"	"18,037.10"	"1,012,800"
31-Oct-16	"18,176.60"	"18,193.68"	"18,130.58"	"18,142.42"	"18,142.42"	"1,100,800"
28-Oct-16	"18,193.79"	"18,257.06"	"18,094.97"	"18,161.19"	"18,161.19"	"1,078,500"
27-Oct-16	"18,234.81"	"18,253.20"	"18,149.20"	"18,169.68"	"18,169.68"	"835,300"
26-Oct-16	"18,103.80"	"18,236.04"	"18,062.30"	"18,199.33"	"18,199.33"	"863,400"
25-Oct-16	"18,206.52"	"18,241.69"	"18,151.70"	"18,169.27"	"18,169.27"	"831,900"
24-Oct-16	"18,197.14"	"18,275.04"	"18,191.18"	"18,223.03"	"18,223.03"	"885,400"
21-Oct-16	"18,152.63"	"18,168.76"	"18,049.77"	"18,145.71"	"18,145.71"	"1,178,100"
20-Oct-16	"18,161.87"	"18,249.05"	"18,129.07"	"18,162.35"	"18,162.35"	"888,300"
19-Oct-16	"18,178.21"	"18,252.20"	"18,169.25"	"18,202.62"	"18,202.62"	"880,400"
18-Oct-16	"18,145.06"	"18,225.80"	"18,129.45"	"18,161.94"	"18,161.94"	"746,000"
